Ano,Mês,Hospital,Internações,Lotação Máxima,Ocupação
2008,1,2077531 A C CAMARGO CANCER CENTER,10,413,2.4213075060532687
2008,2,2077531 A C CAMARGO CANCER CENTER,52,413,12.590799031477
2008,3,2077531 A C CAMARGO CANCER CENTER,31,413,7.506053268765134
2008,4,2077531 A C CAMARGO CANCER CENTER,20,413,4.842615012106537
2008,5,2077531 A C CAMARGO CANCER CENTER,112,413,27.11864406779661
2008,6,2077531 A C CAMARGO CANCER CENTER,30,413,7.263922518159806
2008,7,2077531 A C CAMARGO CANCER CENTER,89,413,21.54963680387409
2008,8,2077531 A C CAMARGO CANCER CENTER,54,413,13.075060532687651
2008,9,2077531 A C CAMARGO CANCER CENTER,150,413,36.31961259079903
2008,10,2077531 A C CAMARGO CANCER CENTER,172,413,41.64648910411623
2008,11,2077531 A C CAMARGO CANCER CENTER,38,413,9.200968523002421
2008,12,2077531 A C CAMARGO CANCER CENTER,193,413,46.73123486682809
2009,1,2077531 A C CAMARGO CANCER CENTER,59,413,14.285714285714285
2009,2,2077531 A C CAMARGO CANCER CENTER,9,413,2.1791767554479415
2009,3,2077531 A C CAMARGO CANCER CENTER,231,413,55.932203389830505
2009,4,2077531 A C CAMARGO CANCER CENTER,72,413,17.433414043583532
2009,5,2077531 A C CAMARGO CANCER CENTER,110,413,26.634382566585955
2009,6,2077531 A C CAMARGO CANCER CENTER,11,413,2.663438256658596
2009,7,2077531 A C CAMARGO CANCER CENTER,57,413,13.801452784503631
2009,8,2077531 A C CAMARGO CANCER CENTER,97,413,23.486682808716708
2009,9,2077531 A C CAMARGO CANCER CENTER,20,413,4.842615012106537
2009,10,2077531 A C CAMARGO CANCER CENTER,102,413,24.69733656174334
2009,11,2077531 A C CAMARGO CANCER CENTER,70,413,16.94915254237288
2009,12,2077531 A C CAMARGO CANCER CENTER,95,413,23.002421307506054
2010,1,2077531 A C CAMARGO CANCER CENTER,41,413,9.927360774818402
2010,2,2077531 A C CAMARGO CANCER CENTER,38,413,9.200968523002421
2010,3,2077531 A C CAMARGO CANCER CENTER,37,413,8.958837772397095
2010,4,2077531 A C CAMARGO CANCER CENTER,34,413,8.232445520581114
2010,5,2077531 A C CAMARGO CANCER CENTER,19,413,4.600484261501211
2010,6,2077531 A C CAMARGO CANCER CENTER,14,413,3.389830508474576
2010,7,2077531 A C CAMARGO CANCER CENTER,49,413,11.864406779661017
2010,8,2077531 A C CAMARGO CANCER CENTER,152,413,36.803874092009686
2010,9,2077531 A C CAMARGO CANCER CENTER,164,413,39.70944309927361
2010,10,2077531 A C CAMARGO CANCER CENTER,10,413,2.4213075060532687
2010,11,2077531 A C CAMARGO CANCER CENTER,106,413,25.66585956416465
2010,12,2077531 A C CAMARGO CANCER CENTER,66,413,15.980629539951574
2011,1,2077531 A C CAMARGO CANCER CENTER,45,413,10.895883777239709
2011,2,2077531 A C CAMARGO CANCER CENTER,35,413,8.47457627118644
2011,3,2077531 A C CAMARGO CANCER CENTER,49,413,11.864406779661017
2011,4,2077531 A C CAMARGO CANCER CENTER,29,413,7.021791767554479
2011,5,2077531 A C CAMARGO CANCER CENTER,42,413,10.16949152542373
2011,6,2077531 A C CAMARGO CANCER CENTER,14,413,3.389830508474576
2011,7,2077531 A C CAMARGO CANCER CENTER,37,413,8.958837772397095
2011,8,2077531 A C CAMARGO CANCER CENTER,16,413,3.87409200968523
2011,9,2077531 A C CAMARGO CANCER CENTER,13,413,3.14769975786925
2011,10,2077531 A C CAMARGO CANCER CENTER,69,413,16.707021791767556
2011,11,2077531 A C CAMARGO CANCER CENTER,11,413,2.663438256658596
2011,12,2077531 A C CAMARGO CANCER CENTER,31,413,7.506053268765134
2012,1,2077531 A C CAMARGO CANCER CENTER,6,413,1.4527845036319613
2012,2,2077531 A C CAMARGO CANCER CENTER,13,413,3.14769975786925
2012,3,2077531 A C CAMARGO CANCER CENTER,34,413,8.232445520581114
2012,4,2077531 A C CAMARGO CANCER CENTER,1,413,0.24213075060532688
2012,5,2077531 A C CAMARGO CANCER CENTER,60,413,14.527845036319611
2012,6,2077531 A C CAMARGO CANCER CENTER,59,413,14.285714285714285
2012,7,2077531 A C CAMARGO CANCER CENTER,11,413,2.663438256658596
2012,8,2077531 A C CAMARGO CANCER CENTER,69,413,16.707021791767556
2012,9,2077531 A C CAMARGO CANCER CENTER,59,413,14.285714285714285
2012,10,2077531 A C CAMARGO CANCER CENTER,52,413,12.590799031477
2012,11,2077531 A C CAMARGO CANCER CENTER,28,413,6.779661016949152
2012,12,2077531 A C CAMARGO CANCER CENTER,48,413,11.62227602905569
2013,1,2077531 A C CAMARGO CANCER CENTER,87,413,21.06537530266344
2013,2,2077531 A C CAMARGO CANCER CENTER,30,413,7.263922518159806
2013,3,2077531 A C CAMARGO CANCER CENTER,11,413,2.663438256658596
2013,4,2077531 A C CAMARGO CANCER CENTER,105,413,25.423728813559322
2013,5,2077531 A C CAMARGO CANCER CENTER,151,413,36.56174334140436
2013,6,2077531 A C CAMARGO CANCER CENTER,103,413,24.93946731234867
2013,7,2077531 A C CAMARGO CANCER CENTER,75,413,18.159806295399516
2013,8,2077531 A C CAMARGO CANCER CENTER,82,413,19.854721549636803
2013,9,2077531 A C CAMARGO CANCER CENTER,75,413,18.159806295399516
2013,10,2077531 A C CAMARGO CANCER CENTER,33,413,7.990314769975787
2013,11,2077531 A C CAMARGO CANCER CENTER,102,413,24.69733656174334
2013,12,2077531 A C CAMARGO CANCER CENTER,154,413,37.28813559322034
2014,1,2077531 A C CAMARGO CANCER CENTER,40,413,9.685230024213075
2014,2,2077531 A C CAMARGO CANCER CENTER,44,413,10.653753026634384
2014,3,2077531 A C CAMARGO CANCER CENTER,64,413,15.49636803874092
2014,4,2077531 A C CAMARGO CANCER CENTER,66,413,15.980629539951574
2014,5,2077531 A C CAMARGO CANCER CENTER,114,413,27.602905569007262
2014,6,2077531 A C CAMARGO CANCER CENTER,138,413,33.41404358353511
2014,7,2077531 A C CAMARGO CANCER CENTER,42,413,10.16949152542373
2014,8,2077531 A C CAMARGO CANCER CENTER,36,413,8.716707021791766
2014,9,2077531 A C CAMARGO CANCER CENTER,38,413,9.200968523002421
2014,10,2077531 A C CAMARGO CANCER CENTER,10,413,2.4213075060532687
2014,11,2077531 A C CAMARGO CANCER CENTER,73,413,17.675544794188863
2014,12,2077531 A C CAMARGO CANCER CENTER,53,413,12.832929782082324
2015,1,2077531 A C CAMARGO CANCER CENTER,69,413,16.707021791767556
2015,2,2077531 A C CAMARGO CANCER CENTER,10,413,2.4213075060532687
2015,3,2077531 A C CAMARGO CANCER CENTER,161,413,38.983050847457626
2015,4,2077531 A C CAMARGO CANCER CENTER,102,413,24.69733656174334
2015,5,2077531 A C CAMARGO CANCER CENTER,119,413,28.8135593220339
2015,6,2077531 A C CAMARGO CANCER CENTER,282,413,68.28087167070218
2015,7,2077531 A C CAMARGO CANCER CENTER,205,413,49.63680387409201
2015,8,2077531 A C CAMARGO CANCER CENTER,349,413,84.50363196125909
2015,9,2077531 A C CAMARGO CANCER CENTER,413,413,100.0
2015,10,2077531 A C CAMARGO CANCER CENTER,134,413,32.445520581113804
2015,11,2077531 A C CAMARGO CANCER CENTER,140,413,33.89830508474576
2015,12,2077531 A C CAMARGO CANCER CENTER,149,413,36.077481840193705
2016,1,2077531 A C CAMARGO CANCER CENTER,221,413,53.510895883777245
2016,2,2077531 A C CAMARGO CANCER CENTER,269,413,65.13317191283294
2016,3,2077531 A C CAMARGO CANCER CENTER,206,413,49.87893462469734
2016,4,2077531 A C CAMARGO CANCER CENTER,336,413,81.35593220338984
2016,5,2077531 A C CAMARGO CANCER CENTER,242,413,58.595641646489106
2016,6,2077531 A C CAMARGO CANCER CENTER,198,413,47.94188861985472
2016,7,2077531 A C CAMARGO CANCER CENTER,291,413,70.46004842615012
2016,8,2077531 A C CAMARGO CANCER CENTER,259,413,62.71186440677966
2016,9,2077531 A C CAMARGO CANCER CENTER,322,413,77.96610169491525
2016,10,2077531 A C CAMARGO CANCER CENTER,167,413,40.43583535108959
2016,11,2077531 A C CAMARGO CANCER CENTER,147,413,35.59322033898305
2016,12,2077531 A C CAMARGO CANCER CENTER,374,413,90.55690072639226
2017,1,2077531 A C CAMARGO CANCER CENTER,108,413,26.150121065375302
2017,2,2077531 A C CAMARGO CANCER CENTER,111,413,26.876513317191282
2017,3,2077531 A C CAMARGO CANCER CENTER,250,413,60.53268765133172
2017,4,2077531 A C CAMARGO CANCER CENTER,190,413,46.00484261501211
2017,5,2077531 A C CAMARGO CANCER CENTER,217,413,52.54237288135594
2017,6,2077531 A C CAMARGO CANCER CENTER,312,413,75.54479418886199
2017,7,2077531 A C CAMARGO CANCER CENTER,272,413,65.85956416464892
2017,8,2077531 A C CAMARGO CANCER CENTER,208,413,50.363196125908
2017,9,2077531 A C CAMARGO CANCER CENTER,222,413,53.753026634382564
2017,10,2077531 A C CAMARGO CANCER CENTER,180,413,43.583535108958834
2017,11,2077531 A C CAMARGO CANCER CENTER,396,413,95.88377723970945
2017,12,2077531 A C CAMARGO CANCER CENTER,281,413,68.03874092009686
2018,1,2077531 A C CAMARGO CANCER CENTER,315,413,76.27118644067797
2018,2,2077531 A C CAMARGO CANCER CENTER,259,413,62.71186440677966
2018,3,2077531 A C CAMARGO CANCER CENTER,268,413,64.89104116222761
2018,4,2077531 A C CAMARGO CANCER CENTER,122,413,29.539951573849876
2018,5,2077531 A C CAMARGO CANCER CENTER,185,413,44.794188861985475
2018,6,2077531 A C CAMARGO CANCER CENTER,208,413,50.363196125908
2018,7,2077531 A C CAMARGO CANCER CENTER,412,413,99.75786924939467
2018,8,2077531 A C CAMARGO CANCER CENTER,322,413,77.96610169491525
2018,9,2077531 A C CAMARGO CANCER CENTER,194,413,46.973365617433416
2018,10,2077531 A C CAMARGO CANCER CENTER,285,413,69.00726392251816
2018,11,2077531 A C CAMARGO CANCER CENTER,298,413,72.15496368038741
2018,12,2077531 A C CAMARGO CANCER CENTER,147,413,35.59322033898305
2019,1,2077531 A C CAMARGO CANCER CENTER,279,413,67.55447941888619
2019,2,2077531 A C CAMARGO CANCER CENTER,166,413,40.19370460048426
2019,3,2077531 A C CAMARGO CANCER CENTER,148,413,35.83535108958838
2019,4,2077531 A C CAMARGO CANCER CENTER,260,413,62.95399515738499
2019,5,2077531 A C CAMARGO CANCER CENTER,104,413,25.181598062954
2019,6,2077531 A C CAMARGO CANCER CENTER,124,413,30.024213075060537
2019,7,2077531 A C CAMARGO CANCER CENTER,158,413,38.256658595641646
2019,8,2077531 A C CAMARGO CANCER CENTER,267,413,64.64891041162227
2019,9,2077531 A C CAMARGO CANCER CENTER,184,413,44.55205811138014
2019,10,2077531 A C CAMARGO CANCER CENTER,253,413,61.25907990314769
2019,11,2077531 A C CAMARGO CANCER CENTER,359,413,86.92493946731234
2019,12,2077531 A C CAMARGO CANCER CENTER,270,413,65.37530266343826
2020,1,2077531 A C CAMARGO CANCER CENTER,184,413,44.55205811138014
2020,2,2077531 A C CAMARGO CANCER CENTER,106,413,25.66585956416465
2020,3,2077531 A C CAMARGO CANCER CENTER,164,413,39.70944309927361
2020,4,2077531 A C CAMARGO CANCER CENTER,81,413,19.612590799031477
2020,5,2077531 A C CAMARGO CANCER CENTER,32,413,7.74818401937046
2020,6,2077531 A C CAMARGO CANCER CENTER,99,413,23.97094430992736
2020,7,2077531 A C CAMARGO CANCER CENTER,25,413,6.053268765133172
2020,8,2077531 A C CAMARGO CANCER CENTER,46,413,11.138014527845035
2020,9,2077531 A C CAMARGO CANCER CENTER,148,413,35.83535108958838
2020,10,2077531 A C CAMARGO CANCER CENTER,43,413,10.411622276029057
2020,11,2077531 A C CAMARGO CANCER CENTER,69,413,16.707021791767556
2020,12,2077531 A C CAMARGO CANCER CENTER,4,413,0.9685230024213075
2021,1,2077531 A C CAMARGO CANCER CENTER,23,413,5.569007263922518
2021,2,2077531 A C CAMARGO CANCER CENTER,12,413,2.9055690072639226
2021,3,2077531 A C CAMARGO CANCER CENTER,15,413,3.631961259079903
2021,4,2077531 A C CAMARGO CANCER CENTER,16,413,3.87409200968523
2021,5,2077531 A C CAMARGO CANCER CENTER,85,413,20.581113801452787
2021,6,2077531 A C CAMARGO CANCER CENTER,47,413,11.380145278450362
2021,7,2077531 A C CAMARGO CANCER CENTER,87,413,21.06537530266344
2021,8,2077531 A C CAMARGO CANCER CENTER,20,413,4.842615012106537
2021,9,2077531 A C CAMARGO CANCER CENTER,62,413,15.012106537530268
2021,10,2077531 A C CAMARGO CANCER CENTER,16,413,3.87409200968523
2021,11,2077531 A C CAMARGO CANCER CENTER,4,413,0.9685230024213075
2021,12,2077531 A C CAMARGO CANCER CENTER,4,413,0.9685230024213075
2022,1,2077531 A C CAMARGO CANCER CENTER,21,413,5.084745762711865
2022,2,2077531 A C CAMARGO CANCER CENTER,47,413,11.380145278450362
2022,3,2077531 A C CAMARGO CANCER CENTER,70,413,16.94915254237288
2022,4,2077531 A C CAMARGO CANCER CENTER,32,413,7.74818401937046
2022,5,2077531 A C CAMARGO CANCER CENTER,0,413,0.0
2022,6,2077531 A C CAMARGO CANCER CENTER,7,413,1.694915254237288
2022,7,2077531 A C CAMARGO CANCER CENTER,7,413,1.694915254237288
2022,8,2077531 A C CAMARGO CANCER CENTER,31,413,7.506053268765134
